Sl.no,Designation,Company,Experience,Location,More location,Working type,Category,Count of jobs
1,Data Scientist (Theoretical),torcai digital media,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
2,Lead Data Scientist,Xoriant,8 to 12 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
3,Senior Data Scientist,InfoVision Inc.,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
4,"Data Scientist II, GPS India Operations T500-10229",Bristol Myers Squibb,3 to 5 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
5,Lead Data Scientist,APS Resources,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
6,Data Scientist,Sybex Support Services,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
7,Data Scientist,PADMA SAI FINANCE PRIVATE LIMITED,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
8,Staff Data Scientist,LegalZoom,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
9,Data Scientist- BLR HYD GGN,Genpact,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
10,Data Scientist,Flipped.ai - Transforming Talent Ac...,5 to 9 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
11,Data Scientist,Arting Digital,1 to 5 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
12,Lead Data Scientist,Three Steps,10 to 14 Yrs,All India,Not Available,Regular,Data Scientist,1
13,HM Lead Data Scientist,Xander Talent,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
14,Data Scientist,Ayruz Data Marketing,1 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
15,Data Scientist,Two95 International Inc.,1 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
16,Senior Data Scientist,SurveySparrow,3 to 7 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
17,Senior Data Scientist,Electronic Arts (EA),10 to 14 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
18,Sr Data Analyst | Sr Data Scientist,AIBridge ML,2 to 6 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
19,Data Scientist,Osource Global,2 to 4 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
20,Senior Data Scientist,Electronic Arts (EA),10 to 14 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
21,Sr Data Analyst | Sr Data Scientist,AIBridge ML,2 to 6 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
22,Data Scientist,Osource Global,2 to 4 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
23,Data Scientist - SQL/Python,Arting Digital,1 to 5 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
24,Sr. Data Scientist  IoT data & Satellite Analytics,Carnot Technologies,4 to 8 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
25,EbizON|| Data Scientist || Dehradun,EbizON,2 to 6 Yrs,Dehradun, Uttarakhand,Regular,Data Scientist,1
26,Data Analyst / Data Scientist (Fresher Only)-,Razormet Technologies,0 to 4 Yrs, Maharashtra,Kolhapur,Regular,Data Scientist,1
